timestamp,TJ-00CB-0000048A-0000,TJ-00CB-0000047F-0000,TJ-00CB-0000047B-0000,TJ-00CB-00000480-0000,TJ-00CB-00000482-0000,TJ-00CB-00000477-0000,TJ-00CB-00000486-0000,TJ-00CB-00000488-0000,TJ-00CB-0000047D-0000,TJ-00CB-00000483-0000,TJ-00CB-00000481-0000
1763545172665,-77,-74,-70,-76,-90,-68,-69,-78,-78,-72,-100
1763545172690,-77,-74,-70,-76,-90,-68,-69,-78,-78,-72,-100
1763545172716,-77,-74,-70,-76,-90,-68,-69,-78,-78,-72,-100
1763545172742,-77,-74,-70,-76,-90,-68,-69,-78,-78,-72,-100
1763545172767,-77,-74,-70,-76,-90,-68,-69,-78,-78,-72,-100
1763545172792,-77,-74,-70,-76,-90,-68,-69,-78,-78,-72,-100
1763545172817,-77,-74,-70,-76,-90,-68,-69,-78,-78,-72,-100
1763545172842,-77,-74,-70,-76,-90,-68,-69,-78,-78,-72,-100
1763545172867,-75,-75,-69,-74,-84,-66,-67,-100,-79,-72,-95
1763545172892,-75,-75,-69,-74,-84,-66,-67,-100,-79,-72,-95
1763545172918,-75,-75,-69,-74,-84,-66,-67,-100,-79,-72,-95
1763545172943,-75,-75,-69,-74,-84,-66,-67,-100,-79,-72,-95
1763545172968,-75,-75,-69,-74,-84,-66,-67,-100,-79,-72,-95
1763545172994,-75,-75,-69,-74,-84,-66,-67,-100,-79,-72,-95
1763545173019,-75,-75,-69,-74,-84,-66,-67,-100,-79,-72,-95
1763545173045,-75,-75,-69,-74,-84,-66,-67,-100,-79,-72,-95
1763545173070,-75,-75,-69,-74,-84,-66,-67,-100,-79,-72,-95
1763545173095,-75,-75,-69,-74,-84,-66,-67,-100,-79,-72,-95
1763545173120,-75,-75,-69,-74,-84,-66,-67,-100,-79,-72,-95
1763545173145,-75,-75,-69,-74,-84,-66,-67,-100,-79,-72,-95
1763545173171,-75,-75,-69,-74,-84,-66,-67,-100,-79,-72,-95
1763545173196,-75,-75,-69,-74,-84,-66,-67,-100,-79,-72,-95
1763545173221,-75,-75,-69,-74,-84,-66,-67,-100,-79,-72,-95
1763545173246,-75,-75,-69,-74,-84,-66,-67,-100,-79,-72,-95
1763545173271,-75,-75,-69,-74,-84,-66,-67,-100,-79,-72,-95
1763545173297,-75,-75,-69,-74,-84,-66,-67,-100,-79,-72,-95
1763545173321,-75,-75,-69,-74,-84,-66,-67,-100,-79,-72,-95
1763545173350,-75,-76,-71,-72,-83,-63,-71,-83,-79,-71,-95
1763545173376,-75,-76,-71,-72,-83,-63,-71,-83,-79,-71,-95
1763545173400,-75,-76,-71,-72,-83,-63,-71,-83,-79,-71,-95
1763545173425,-75,-76,-71,-72,-83,-63,-71,-83,-79,-71,-95
1763545173450,-75,-76,-71,-72,-83,-63,-71,-83,-79,-71,-95
1763545173475,-75,-76,-71,-72,-83,-63,-71,-83,-79,-71,-95
1763545173500,-75,-76,-71,-72,-83,-63,-71,-83,-79,-71,-95
1763545173525,-75,-76,-71,-72,-83,-63,-71,-83,-79,-71,-95
1763545173551,-75,-76,-71,-72,-83,-63,-71,-83,-79,-71,-95
1763545173578,-75,-76,-71,-72,-83,-63,-71,-83,-79,-71,-95
1763545173605,-75,-76,-71,-72,-83,-63,-71,-83,-79,-71,-95
1763545173630,-75,-76,-71,-72,-83,-63,-71,-83,-79,-71,-95
1763545173654,-75,-76,-71,-72,-83,-63,-71,-83,-79,-71,-95
1763545173679,-75,-76,-71,-72,-83,-63,-71,-83,-79,-71,-95
1763545173704,-75,-76,-71,-72,-83,-63,-71,-83,-79,-71,-95
1763545173730,-75,-76,-71,-72,-83,-63,-71,-83,-79,-71,-95
1763545173755,-75,-76,-71,-72,-83,-63,-71,-83,-79,-71,-95
1763545173781,-75,-76,-71,-72,-83,-63,-71,-83,-79,-71,-95
1763545173806,-75,-76,-71,-72,-83,-63,-71,-83,-79,-71,-95
1763545173832,-75,-76,-71,-72,-83,-63,-71,-83,-79,-71,-95
1763545173856,-75,-76,-72,-73,-79,-62,-73,-83,-81,-69,-95
1763545173881,-75,-76,-72,-73,-79,-62,-73,-83,-81,-69,-95
1763545173906,-75,-76,-72,-73,-79,-62,-73,-83,-81,-69,-95
1763545173931,-75,-76,-72,-73,-79,-62,-73,-83,-81,-69,-95
1763545173957,-75,-76,-72,-73,-79,-62,-73,-83,-81,-69,-95
1763545173982,-75,-76,-72,-73,-79,-62,-73,-83,-81,-69,-95
