x,y,heading,step_length,RSSI_0,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,RSSI_7,RSSI_8,RSSI_9,RSSI_10,RSSI_11
33.52014277177751,9.37154546162703,55.52294097029068,0.5814958724586515,1763545378118,-80,-73,-100,-61,-79,-67,-82,-84,-81,-64,-100
33.825732884690396,9.94111141458829,61.78503757129953,0.6463673041566852,1763545378650,-80,-74,-100,-61,-78,-68,-82,-82,-82,-64,-100
34.156719047697926,10.435185596674016,56.181399664737235,0.5946941545921951,1763545379130,-80,-75,-100,-62,-77,-69,-81,-79,-100,-64,-100
34.462638203153986,10.979186227951981,60.64874349037383,0.6241179507959805,1763545379535,-84,-72,-100,-65,-75,-66,-84,-78,-84,-64,-80
34.816412685718,11.583209088021503,59.64261451491025,0.7,1763545380220,-82,-72,-100,-66,-69,-64,-86,-77,-84,-66,-83
35.079381928643265,12.231936440054168,67.93424956820645,0.7,1763545380752,-82,-73,-100,-68,-71,-65,-82,-77,-82,-66,-84
35.36352387383243,12.871673382073402,66.05139210255554,0.7,1763545381257,-86,-76,-100,-70,-72,-64,-82,-75,-82,-61,-100
35.486463570797746,13.560792987737088,79.8847860487903,0.7,1763545381761,-100,-79,-100,-72,-75,-61,-82,-77,-86,-58,-100
35.52034888068708,14.258060156051602,87.21776803300712,0.6980900502339487,1763545382339,-85,-77,-100,-73,-74,-58,-82,-78,-86,-57,-100
35.39966462491174,14.86677788971588,101.21402917187675,0.6205658457161672,1763545382845,-85,-76,-100,-71,-75,-59,-82,-81,-84,-60,-83
35.34282723242837,15.564466581623446,94.65733096267736,0.7,1763545383352,-100,-74,-100,-69,-76,-59,-83,-82,-87,-58,-83
35.20579455820787,16.250922731858825,101.28918036399521,0.7,1763545383905,-100,-73,-100,-70,-73,-61,-84,-76,-87,-55,-82
35.148645396257365,16.948585955261315,94.68293464609893,0.7,1763545384388,-100,-73,-100,-71,-72,-62,-86,-77,-87,-55,-88
35.000930882910524,17.632823065148454,102.18217652584578,0.7,1763545384968,-100,-74,-100,-72,-78,-62,-100,-78,-100,-57,-88
34.93470956478588,18.19746435102759,96.68911094495276,0.5685112529171338,1763545385445,-100,-77,-100,-76,-77,-59,-92,-80,-100,-62,-100
34.78955128755718,18.844865388898604,102.63767199565729,0.6634749650774071,1763545385946,-100,-79,-100,-78,-77,-58,-92,-80,-100,-64,-100
34.73462197226346,19.467039118375716,95.0453416503963,0.6245937714467669,1763545386496,-100,-86,-100,-79,-76,-55,-100,-79,-87,-63,-100
34.598245119962066,20.07629162556515,102.61726586996097,0.624329450979409,1763545387000,-100,-88,-100,-80,-75,-55,-100,-80,-87,-59,-100
34.55812506422649,20.612928597079808,94.27559323090277,0.5381346096179366,1763545387507,-100,-85,-100,-79,-71,-60,-100,-81,-100,-62,-100
34.51405675070852,21.303596126578338,93.65083079313672,0.6920719995491225,1763545388090,-100,-81,-100,-82,-71,-62,-100,-75,-100,-56,-100
34.51137516941956,21.93701128365993,90.24256188167696,0.6334208333319253,1763545388546,-100,-82,-100,-83,-73,-61,-100,-74,-100,-59,-100
34.39177467399509,22.51694801142752,101.65275507478341,0.5921409348453769,1763545389052,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100
34.28881359566149,23.15181600061606,99.21186303099563,0.6431627689379388,1763545389529,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100
34.10800600196822,23.735256631113263,107.21814987443004,0.61081450150772,1763545390034,-100,-79,-100,-78,-73,-63,-100,-75,-100,-56,-100
34.0321391957206,24.29211982899607,97.75818755852293,0.5620074674294667,1763545390539,-100,-79,-100,-76,-70,-63,-100,-74,-100,-57,-100
33.90286322170228,24.93397747924449,101.38754186988524,0.6547469134259505,1763545391020,-100,-79,-100,-76,-70,-63,-100,-74,-100,-57,-100
33.844904701700784,25.60401902735795,94.94377296336772,0.672543579434856,1763545391546,-100,-81,-100,-78,-66,-62,-86,-73,-100,-57,-100
33.73590945751723,26.17527780088015,100.80211018410735,0.5815638826308941,1763545392005,-100,-81,-100,-78,-66,-62,-86,-73,-100,-57,-100
33.66031636263762,26.790335265858612,97.00674824635553,0.6196854050396932,1763545392531,-100,-79,-100,-76,-67,-65,-86,-74,-100,-54,-100
33.51101876197524,27.377116722136936,104.27513933552521,0.6054768789934567,1763545393060,-100,-82,-100,-77,-67,-67,-100,-74,-100,-57,-100
33.40738859595708,28.000008689613118,99.44574989156821,0.6314535726839295,1763545393590,-100,-81,-100,-78,-65,-66,-100,-73,-100,-54,-100
33.28813053255107,28.610771519509633,101.04860587929947,0.622297131658623,1763545394094,-100,-79,-100,-78,-65,-66,-100,-74,-100,-52,-100
33.20735786485144,29.261335045749334,97.07751071327924,0.6555586362185686,1763545394549,-100,-79,-100,-78,-63,-67,-100,-73,-100,-51,-100
33.043056626156975,29.941779828934173,103.57488580127087,0.7,1763545395081,-100,-79,-100,-80,-60,-69,-100,-71,-100,-55,-100
32.95825793779328,30.6084100339846,97.24937536792909,0.6720019701115316,1763545395564,-100,-79,-100,-81,-56,-68,-100,-69,-100,-56,-100
32.81179826752487,31.23701694903307,103.11541217450473,0.6454433272270176,1763545396043,-100,-79,-100,-81,-54,-65,-100,-70,-100,-53,-100
32.72499070193775,31.93047394361168,97.1352210542055,0.6988691986152785,1763545396551,-100,-81,-100,-81,-59,-68,-100,-69,-100,-57,-100
32.59308770254207,32.48068919321949,103.48109497533292,0.565804932950009,1763545397057,-100,-82,-100,-81,-58,-70,-100,-70,-100,-61,-100
32.49180383107144,33.073289387931,99.69895398153041,0.6011933244740809,1763545397563,-100,-82,-100,-80,-55,-70,-100,-71,-100,-65,-100
32.37222661668079,33.63691460365728,101.97811209524038,0.5761701953450223,1763545398090,-100,-100,-100,-79,-57,-72,-100,-67,-100,-65,-100
32.29678138007632,34.22088525131384,97.3614687478745,0.5888239983651492,1763545398593,-100,-85,-100,-79,-59,-72,-100,-65,-100,-66,-100
32.1746770936188,34.81382866812878,101.63620182738603,0.6053852924505839,1763545399149,-100,-85,-100,-78,-57,-75,-100,-66,-100,-69,-100
32.11241629710999,35.380779622365246,96.26693287418644,0.5703593527694224,1763545399606,-100,-100,-100,-78,-57,-75,-100,-67,-100,-70,-100
31.987912325840476,35.94879563033919,102.3631961664697,0.5815010096092128,1763545400162,-100,-100,-100,-79,-56,-74,-100,-64,-100,-70,-100
31.914509012653983,36.50358426483911,97.53694887493779,0.5596235121553093,1763545400670,-100,-100,-100,-82,-57,-75,-100,-63,-100,-71,-100
31.78399105279376,37.07767322614388,102.80836533746181,0.5887385441246944,1763545401174,-100,-100,-100,-100,-58,-75,-100,-66,-100,-72,-100
31.714628080410293,37.649873810166746,96.91175268492721,0.5763893912052672,1763545401734,-100,-100,-100,-100,-58,-76,-100,-69,-100,-73,-100
31.609760604277252,38.15800215363878,101.6609793735701,0.5188367768288542,1763545402212,-100,-100,-100,-82,-56,-77,-100,-69,-100,-73,-100
31.55651889596658,38.67516977850011,95.87781626399823,0.5199009826000976,1763545402738,-100,-100,-100,-79,-55,-78,-100,-66,-100,-72,-100
31.47182379746092,39.228577494793456,98.70119555039687,0.5598511946614869,1763545403239,-100,-100,-100,-79,-52,-77,-100,-65,-100,-72,-100
